,Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score,model,LR
100,ESN,sorting_problem,medium,10000,8000,0,classification,,0.7172499999999999,esn_10k_medium,
101,ESN,sorting_problem,medium,10000,8000,1,classification,,0.7183999999999999,esn_10k_medium,
102,ESN,sorting_problem,medium,10000,8000,2,classification,,0.72075,esn_10k_medium,
103,ESN,sorting_problem,medium,10000,8000,3,classification,,0.7257,esn_10k_medium,
104,ESN,sorting_problem,medium,10000,8000,4,classification,,0.7148,esn_10k_medium,
105,ESN,sorting_problem,medium,10000,8000,5,classification,,0.7167,esn_10k_medium,
106,ESN,sorting_problem,medium,10000,8000,6,classification,,0.716,esn_10k_medium,
107,ESN,sorting_problem,medium,10000,8000,7,classification,,0.71285,esn_10k_medium,
108,ESN,sorting_problem,medium,10000,8000,8,classification,,0.7191000000000001,esn_10k_medium,
109,ESN,sorting_problem,medium,10000,8000,9,classification,,0.71955,esn_10k_medium,
110,ESN,cross_situation,medium,10000,28000,0,multi_classification,,0.002,esn_10k_medium,
111,ESN,cross_situation,medium,10000,28000,1,multi_classification,,0.0022499999999999,esn_10k_medium,
112,ESN,cross_situation,medium,10000,28000,2,multi_classification,,0.0011428571428571,esn_10k_medium,
113,ESN,cross_situation,medium,10000,28000,3,multi_classification,,0.0014999999999999,esn_10k_medium,
114,ESN,cross_situation,medium,10000,28000,4,multi_classification,,0.0011428571428571,esn_10k_medium,
115,ESN,cross_situation,medium,10000,28000,5,multi_classification,,0.0015357142857143,esn_10k_medium,
116,ESN,cross_situation,medium,10000,28000,6,multi_classification,,0.0021785714285714,esn_10k_medium,
117,ESN,cross_situation,medium,10000,28000,7,multi_classification,,0.0015714285714285,esn_10k_medium,
118,ESN,cross_situation,medium,10000,28000,8,multi_classification,,0.0014285714285714,esn_10k_medium,
119,ESN,cross_situation,medium,10000,28000,9,multi_classification,,0.0013571428571428,esn_10k_medium,
120,ESN,sinus_forecasting,small,10000,1000,0,regression,,0.0001568981091236,esn_10k_small,
121,ESN,sinus_forecasting,small,10000,1000,1,regression,,8.231406469761688e-05,esn_10k_small,
122,ESN,sinus_forecasting,small,10000,1000,2,regression,,8.193999534935384e-05,esn_10k_small,
123,ESN,sinus_forecasting,small,10000,1000,3,regression,,0.0001621121171447,esn_10k_small,
124,ESN,sinus_forecasting,small,10000,1000,4,regression,,0.0001672844193017,esn_10k_small,
125,ESN,sinus_forecasting,small,10000,1000,5,regression,,0.0001226838928954,esn_10k_small,
126,ESN,sinus_forecasting,small,10000,1000,6,regression,,6.615728545313415e-05,esn_10k_small,
127,ESN,sinus_forecasting,small,10000,1000,7,regression,,0.0001458229594858,esn_10k_small,
128,ESN,sinus_forecasting,small,10000,1000,8,regression,,0.0001057347511835,esn_10k_small,
129,ESN,sinus_forecasting,small,10000,1000,9,regression,,6.807006445164453e-05,esn_10k_small,
130,ESN,chaotic_forecasting,small,10000,3000,0,regression,,2.4290296940995396e-05,esn_10k_small,
131,ESN,chaotic_forecasting,small,10000,3000,1,regression,,5.44196267906323e-06,esn_10k_small,
132,ESN,chaotic_forecasting,small,10000,3000,2,regression,,8.046121814858263e-06,esn_10k_small,
133,ESN,chaotic_forecasting,small,10000,3000,3,regression,,2.37638646820811e-05,esn_10k_small,
134,ESN,chaotic_forecasting,small,10000,3000,4,regression,,3.901485510041601e-05,esn_10k_small,
135,ESN,chaotic_forecasting,small,10000,3000,5,regression,,1.566871602510449e-05,esn_10k_small,
136,ESN,chaotic_forecasting,small,10000,3000,6,regression,,1.652214896153182e-05,esn_10k_small,
137,ESN,chaotic_forecasting,small,10000,3000,7,regression,,3.5815267547755206e-05,esn_10k_small,
138,ESN,chaotic_forecasting,small,10000,3000,8,regression,,3.734968921416126e-05,esn_10k_small,
139,ESN,chaotic_forecasting,small,10000,3000,9,regression,,9.98908536343152e-06,esn_10k_small,
140,ESN,discrete_postcasting,small,10000,3000,0,classification,,0.0,esn_10k_small,
141,ESN,discrete_postcasting,small,10000,3000,1,classification,,0.0,esn_10k_small,
142,ESN,discrete_postcasting,small,10000,3000,2,classification,,0.0,esn_10k_small,
143,ESN,discrete_postcasting,small,10000,3000,3,classification,,0.0,esn_10k_small,
144,ESN,discrete_postcasting,small,10000,3000,4,classification,,0.0,esn_10k_small,
145,ESN,discrete_postcasting,small,10000,3000,5,classification,,0.0,esn_10k_small,
146,ESN,discrete_postcasting,small,10000,3000,6,classification,,0.0,esn_10k_small,
147,ESN,discrete_postcasting,small,10000,3000,7,classification,,0.0,esn_10k_small,
148,ESN,discrete_postcasting,small,10000,3000,8,classification,,0.0,esn_10k_small,
149,ESN,discrete_postcasting,small,10000,3000,9,classification,,0.0,esn_10k_small,
150,ESN,continuous_postcasting,small,10000,1000,0,regression,,2.2577733188740133e-08,esn_10k_small,
151,ESN,continuous_postcasting,small,10000,1000,1,regression,,6.181673838469803e-08,esn_10k_small,
152,ESN,continuous_postcasting,small,10000,1000,2,regression,,7.222930551966563e-08,esn_10k_small,
153,ESN,continuous_postcasting,small,10000,1000,3,regression,,2.4504722788047655e-08,esn_10k_small,
154,ESN,continuous_postcasting,small,10000,1000,4,regression,,2.661415174539131e-08,esn_10k_small,
155,ESN,continuous_postcasting,small,10000,1000,5,regression,,2.6910015694025368e-08,esn_10k_small,
156,ESN,continuous_postcasting,small,10000,1000,6,regression,,1.475925003165172e-08,esn_10k_small,
157,ESN,continuous_postcasting,small,10000,1000,7,regression,,2.876689608630076e-08,esn_10k_small,
158,ESN,continuous_postcasting,small,10000,1000,8,regression,,3.9010830893006855e-08,esn_10k_small,
159,ESN,continuous_postcasting,small,10000,1000,9,regression,,2.941803718410634e-08,esn_10k_small,
160,ESN,discrete_pattern_completion,small,10000,3000,0,classification,,0.0741666666666667,esn_10k_small,
161,ESN,discrete_pattern_completion,small,10000,3000,1,classification,,0.0791666666666667,esn_10k_small,
162,ESN,discrete_pattern_completion,small,10000,3000,2,classification,,0.0699999999999999,esn_10k_small,
163,ESN,discrete_pattern_completion,small,10000,3000,3,classification,,0.0741666666666667,esn_10k_small,
164,ESN,discrete_pattern_completion,small,10000,3000,4,classification,,0.0725,esn_10k_small,
165,ESN,discrete_pattern_completion,small,10000,3000,5,classification,,0.0666666666666666,esn_10k_small,
166,ESN,discrete_pattern_completion,small,10000,3000,6,classification,,0.0691666666666667,esn_10k_small,
167,ESN,discrete_pattern_completion,small,10000,3000,7,classification,,0.0841666666666666,esn_10k_small,
168,ESN,discrete_pattern_completion,small,10000,3000,8,classification,,0.0608333333333332,esn_10k_small,
169,ESN,discrete_pattern_completion,small,10000,3000,9,classification,,0.0733333333333333,esn_10k_small,
170,ESN,continuous_pattern_completion,small,10000,1000,0,regression,,0.0468590245880355,esn_10k_small,
171,ESN,continuous_pattern_completion,small,10000,1000,1,regression,,0.0545105126965252,esn_10k_small,
172,ESN,continuous_pattern_completion,small,10000,1000,2,regression,,0.0473803968358928,esn_10k_small,
173,ESN,continuous_pattern_completion,small,10000,1000,3,regression,,0.0413872642377841,esn_10k_small,
174,ESN,continuous_pattern_completion,small,10000,1000,4,regression,,0.040778896296345,esn_10k_small,
175,ESN,continuous_pattern_completion,small,10000,1000,5,regression,,0.0466500175451167,esn_10k_small,
176,ESN,continuous_pattern_completion,small,10000,1000,6,regression,,0.0481820547840732,esn_10k_small,
177,ESN,continuous_pattern_completion,small,10000,1000,7,regression,,0.0366595901897221,esn_10k_small,
178,ESN,continuous_pattern_completion,small,10000,1000,8,regression,,0.0338253194524205,esn_10k_small,
179,ESN,continuous_pattern_completion,small,10000,1000,9,regression,,0.0420190841346474,esn_10k_small,
180,ESN,bracket_matching,small,10000,2000,0,classification,,0.13,esn_10k_small,
181,ESN,bracket_matching,small,10000,2000,1,classification,,0.13,esn_10k_small,
182,ESN,bracket_matching,small,10000,2000,2,classification,,0.2099999999999999,esn_10k_small,
183,ESN,bracket_matching,small,10000,2000,3,classification,,0.15,esn_10k_small,
184,ESN,bracket_matching,small,10000,2000,4,classification,,0.2099999999999999,esn_10k_small,
185,ESN,bracket_matching,small,10000,2000,5,classification,,0.25,esn_10k_small,
186,ESN,bracket_matching,small,10000,2000,6,classification,,0.3,esn_10k_small,
187,ESN,bracket_matching,small,10000,2000,7,classification,,0.2099999999999999,esn_10k_small,
188,ESN,bracket_matching,small,10000,2000,8,classification,,0.1899999999999999,esn_10k_small,
189,ESN,bracket_matching,small,10000,2000,9,classification,,0.26,esn_10k_small,
190,ESN,simple_copy,small,10000,3000,0,classification,,0.0,esn_10k_small,
191,ESN,simple_copy,small,10000,3000,1,classification,,0.0004545454545454,esn_10k_small,
192,ESN,simple_copy,small,10000,3000,2,classification,,0.0,esn_10k_small,
193,ESN,simple_copy,small,10000,3000,3,classification,,0.0009090909090908,esn_10k_small,
